tokens_generated,total_time_seconds,tokens_per_second,peak_vram_mb,kv_cache_method,perplexity,sample_id,dataset,baseline,window_size,max_new_tokens,exact_match,f1
64,2.0603394508361816,31.06284256898824,317.5732421875,full,8.039054870605469,narrativeqa_83,narrativeqa,full,N/A,64,0.0,0.0689655172413793
64,2.0621891021728516,31.03498119186334,317.2236328125,full,10.630584716796875,narrativeqa_84,narrativeqa,full,N/A,64,0.0,0.1111111111111111
52,1.6849644184112549,30.861185810101887,317.5234375,full,43.927738189697266,narrativeqa_85,narrativeqa,full,N/A,64,0.0,0.2857142857142857
64,2.0625996589660645,31.028803734061405,317.5234375,full,8.595304489135742,narrativeqa_86,narrativeqa,full,N/A,64,0.0,0.2641509433962264
33,1.0855531692504883,30.39924799149598,317.4736328125,full,21.35619354248047,narrativeqa_87,narrativeqa,full,N/A,64,0.0,0.3846153846153846
64,2.1231534481048584,30.14384101965256,334.73095703125,full,5.48112154006958,narrativeqa_88,narrativeqa,full,N/A,64,0.0,0.25
64,2.1216840744018555,30.164717156602524,334.88427734375,full,13.01620101928711,narrativeqa_89,narrativeqa,full,N/A,64,0.0,0.13043478260869565
22,0.7989223003387451,27.5370958986524,335.26708984375,full,56.8702278137207,narrativeqa_90,narrativeqa,full,N/A,64,0.0,0.2857142857142857
6,0.2938976287841797,20.415271891853305,334.73095703125,full,8128.486328125,narrativeqa_91,narrativeqa,full,N/A,64,1.0,1.0
26,0.9250118732452393,28.107747318727526,335.45947265625,full,117.18505859375,narrativeqa_92,narrativeqa,full,N/A,64,0.0,0.7096774193548387
64,2.1075382232666016,30.367183519358672,334.6513671875,full,6.216007232666016,narrativeqa_93,narrativeqa,full,N/A,64,0.0,0.15789473684210528
34,1.1760852336883545,28.909469336139548,334.84619140625,full,30.993406295776367,narrativeqa_94,narrativeqa,full,N/A,64,0.0,0.0
63,2.0700268745422363,30.434387482979783,334.498046875,full,7.1053338050842285,narrativeqa_95,narrativeqa,full,N/A,64,0.0,0.23255813953488372
17,0.6250426769256592,27.198142827008805,334.537109375,full,110.75402069091797,narrativeqa_96,narrativeqa,full,N/A,64,0.0,0.4
29,1.0023503303527832,28.932000241665282,334.6513671875,full,19.553956985473633,narrativeqa_97,narrativeqa,full,N/A,64,0.0,0.7333333333333334
64,2.1044018268585205,30.412442710877166,334.5751953125,full,10.286962509155273,narrativeqa_98,narrativeqa,full,N/A,64,0.0,0.3478260869565218
64,2.101681709289551,30.45180424662613,334.5751953125,full,8.546677589416504,narrativeqa_99,narrativeqa,full,N/A,64,0.0,0.2857142857142857
64,2.3100087642669678,27.705522589352185,1017.09375,full,10.578577041625977,narrativeqa_0,narrativeqa,full,N/A,64,0.0,0.30434782608695654
64,1.6700716018676758,38.321710235912924,1017.267578125,full,8.591432571411133,narrativeqa_1,narrativeqa,full,N/A,64,0.0,0.1276595744680851
64,1.6668016910552979,38.39688929009896,1017.4990234375,full,14.184416770935059,narrativeqa_2,narrativeqa,full,N/A,64,0.0,0.1754385964912281
64,1.6696851253509521,38.330580435965615,1017.09375,full,6.804428577423096,narrativeqa_3,narrativeqa,full,N/A,64,0.0,0.05882352941176471
64,1.6699092388153076,38.325436204786705,1017.4404296875,full,11.446097373962402,narrativeqa_4,narrativeqa,full,N/A,64,0.0,0.22727272727272727
64,1.6689140796661377,38.34828933362648,1017.3251953125,full,20.470460891723633,narrativeqa_5,narrativeqa,full,N/A,64,0.0,0.33333333333333337
28,0.7947916984558105,35.229356389102705,1017.3251953125,full,15.38436222076416,narrativeqa_6,narrativeqa,full,N/A,64,0.0,0.6666666666666667
64,1.6626026630401611,38.49386352056748,1017.0478515625,full,12.468729972839355,narrativeqa_7,narrativeqa,full,N/A,64,0.0,0.16666666666666669
48,1.274806022644043,37.652787284801505,1017.208984375,full,18.17283058166504,narrativeqa_8,narrativeqa,full,N/A,64,0.0,0.2162162162162162
